MONTH,DAY,PERIOD,1,2,3,4,5
1,1,1,0.0,0.0,0.0,0.0,0.0
1,1,2,0.0,0.0,0.0,0.0,0.0
1,1,3,0.0,0.0,0.0,0.0,0.0
1,1,4,0.0,0.0,0.0,0.0,0.0
1,1,5,0.0,0.0,0.0,0.0,0.0
1,1,6,0.0,0.0,0.0,0.0,0.0
1,1,7,0.0,0.0,0.0,0.0,0.0
1,1,8,0.0,0.0,0.0,0.0,0.0
1,1,9,0.0,0.0,0.0,0.0,0.0
1,1,10,0.0,0.0,0.0,0.0,0.0
1,1,11,0.0,0.0,0.0,0.0,0.0
1,1,12,0.0,0.0,0.0,0.0,0.0
1,1,13,0.0,0.0,0.0,0.0,0.0
1,1,14,0.0,0.0,0.0,0.0,0.0
1,1,15,0.0,0.0,0.0,0.0,0.0
1,1,16,0.0,0.0,0.0,0.0,0.0
1,1,17,0.779141156,0.841472448,0.891337482,0.87080971,0.828776395
1,1,18,0.779141156,0.818098214,0.86250926,0.828115372,0.85484464
1,1,19,0.83332483,0.891657568,0.948740319,0.962540178,0.836340466
1,1,20,0.83332483,0.824991582,0.762825549,0.83125874,0.837493181
1,1,21,0.850731293,0.765658164,0.864768359,0.843593657,0.797940354
1,1,22,0.850731293,0.791180102,0.755279242,0.759110369,0.796966004
1,1,23,0.860841837,0.835016582,0.915763546,0.809602809,0.821093946
1,1,24,0.860841837,0.886667092,0.943654822,0.941907313,0.862854378
1,1,25,0.85630102,0.916242091,0.912859702,0.82352353,0.903548533
1,1,26,0.85630102,0.830611989,0.843456505,0.894063895,0.941719187
1,1,27,0.847210884,0.923459864,0.841068605,0.922814571,0.865965711
1,1,28,0.847210884,0.787906122,0.735802653,0.837724946,0.802161151
1,1,29,0.825204082,0.882968368,0.922413123,0.824250146,0.820523483
1,1,30,0.825204082,0.849960204,0.8208305,0.748798436,0.77063839
1,1,31,0.78672619,0.739522619,0.732599428,0.700242953,0.687988702
1,1,32,0.78672619,0.723788095,0.815677714,0.798659253,0.726527916
1,1,33,0.635510204,0.673640816,0.700395796,0.616261024,0.676145519
1,1,34,0.635510204,0.59102449,0.58260398,0.554802526,0.632354271
1,1,35,0.437712585,0.433335459,0.444234503,0.420890415,0.408000646
1,1,36,0.437712585,0.420204082,0.433247917,0.421780431,0.453930429
1,1,37,0.050021259,0.052022109,0.048980817,0.051348223,0.05464055
1,1,38,0.050021259,0.048520621,0.046807393,0.048449758,0.045542772
1,1,39,0.0,0.0,0.0,0.0,0.0
1,1,40,0.0,0.0,0.0,0.0,0.0
1,1,41,0.0,0.0,0.0,0.0,0.0
1,1,42,0.0,0.0,0.0,0.0,0.0
1,1,43,0.0,0.0,0.0,0.0,0.0
1,1,44,0.0,0.0,0.0,0.0,0.0
1,1,45,0.0,0.0,0.0,0.0,0.0
1,1,46,0.0,0.0,0.0,0.0,0.0
1,1,47,0.0,0.0,0.0,0.0,0.0
1,1,48,0.0,0.0,0.0,0.0,0.0
1,2,1,0.0,0.0,0.0,0.0,0.0
1,2,2,0.0,0.0,0.0,0.0,0.0
1,2,3,0.0,0.0,0.0,0.0,0.0
1,2,4,0.0,0.0,0.0,0.0,0.0
1,2,5,0.0,0.0,0.0,0.0,0.0
1,2,6,0.0,0.0,0.0,0.0,0.0
1,2,7,0.0,0.0,0.0,0.0,0.0
1,2,8,0.0,0.0,0.0,0.0,0.0
1,2,9,0.0,0.0,0.0,0.0,0.0
1,2,10,0.0,0.0,0.0,0.0,0.0
1,2,11,0.004221344,0.00379921,0.003849866,0.003640262,0.003994
1,2,12,0.004221344,0.00379921,0.003970174,0.003916971,0.004136002
1,2,13,0.366658163,0.340992092,0.382131137,0.348730045,0.348839024
1,2,14,0.366658163,0.351991836,0.3952575,0.3713025,0.34902435
1,2,15,0.709379252,0.737754422,0.766980847,0.738038174,0.701136265
1,2,16,0.709379252,0.723566837,0.680649392,0.704531827,0.690441191
1,2,17,0.812729592,0.739583929,0.760633625,0.763272558,0.699839983
1,2,18,0.812729592,0.804602296,0.832925922,0.759579921,0.802459433
1,2,19,0.841284014,0.900173895,0.879436244,0.952258209,0.946885376
1,2,20,0.841284014,0.908586735,0.874935375,0.804940545,0.9003085
1,2,21,0.861488095,0.913177381,0.798599464,0.892065179,0.926975807
1,2,22,0.861488095,0.887332738,0.909386833,0.859487145,0.791481333
1,2,23,0.872772109,0.785494898,0.771094158,0.809787055,0.777395573
1,2,24,0.872772109,0.925138436,0.854007509,0.81325487,0.779663908
1,2,25,0.875654762,0.823115476,0.840891268,0.787295067,0.773517403
1,2,26,0.875654762,0.945707143,0.865146905,0.958188142,0.829168557
1,2,27,0.871828231,0.79336369,0.815944041,0.810504414,0.773535489
1,2,28,0.871828231,0.802081973,0.778368245,0.784729103,0.86589952
1,2,29,0.844022109,0.818701446,0.914497955,0.867664575,0.921507028
1,2,30,0.844022109,0.92842432,0.974845536,0.869975789,0.841014753
1,2,31,0.805586735,0.749195664,0.839582495,0.718309468,0.747041847
1,2,32,0.805586735,0.757251531,0.812675898,0.847266719,0.805695221
1,2,33,0.168630952,0.158513095,0.163572023,0.166843464,0.16932158
1,2,34,0.168630952,0.182121428,0.184145,0.185431092,0.172878833
1,2,35,0.002278316,0.002073268,0.002371613,0.002241066,0.00239794
1,2,36,0.002278316,0.002369449,0.002393599,0.002276708,0.002422698
1,2,37,0.0,0.0,0.0,0.0,0.0
1,2,38,0.0,0.0,0.0,0.0,0.0
1,2,39,0.0,0.0,0.0,0.0,0.0
1,2,40,0.0,0.0,0.0,0.0,0.0
1,2,41,0.0,0.0,0.0,0.0,0.0
1,2,42,0.0,0.0,0.0,0.0,0.0
1,2,43,0.0,0.0,0.0,0.0,0.0
1,2,44,0.0,0.0,0.0,0.0,0.0
1,2,45,0.0,0.0,0.0,0.0,0.0
1,2,46,0.0,0.0,0.0,0.0,0.0
1,2,47,0.0,0.0,0.0,0.0,0.0
1,2,48,0.0,0.0,0.0,0.0,0.0
1,3,1,0.0,0.0,0.0,0.0,0.0
1,3,2,0.0,0.0,0.0,0.0,0.0
